apple,苹果,七年级,Unit1
banana,香蕉,七年级,Unit1
orange,橙子,七年级,Unit1
grape,葡萄,七年级,Unit1
pear,梨,七年级,Unit1
watermelon,西瓜,七年级,Unit1
pineapple,菠萝,七年级,Unit1
peach,桃子,七年级,Unit1
cherry,樱桃,七年级,Unit1
lemon,柠檬,七年级,Unit1
strawberry,草莓,七年级,Unit1
mango,芒果,七年级,Unit1
kiwi,猕猴桃,七年级,Unit1
coconut,椰子,七年级,Unit1
papaya,木瓜,七年级,Unit1
dragonfruit,火龙果,七年级,Unit1
pomegranate,石榴,七年级,Unit1
lychee,荔枝,七年级,Unit1
longan,龙眼,七年级,Unit1
durian,榴莲,七年级,Unit1
avocado,牛油果,七年级,Unit1
passionfruit,百香果,七年级,Unit1
fig,无花果,七年级,Unit1
date,枣,七年级,Unit1
plum,李子,七年级,Unit1
apricot,杏,七年级,Unit1
nectarine,油桃,七年级,Unit1
persimmon,柿子,七年级,Unit1
jujube,枣,七年级,Unit1
olive,橄榄,七年级,Unit1
almond,杏仁,七年级,Unit1
walnut,核桃,七年级,Unit1
cashew,腰果,七年级,Unit1
pecan,山核桃,七年级,Unit1
hazelnut,榛子,七年级,Unit1
chestnut,栗子,七年级,Unit1
pistachio,开心果,七年级,Unit1
macadamia,夏威夷果,七年级,Unit1
peanut,花生,七年级,Unit1
sunflower,向日葵,七年级,Unit1
pumpkin,南瓜,七年级,Unit1
squash,南瓜,七年级,Unit1
carrot,胡萝卜,七年级,Unit1
potato,土豆,七年级,Unit1
tomato,番茄,七年级,Unit1
onion,洋葱,七年级,Unit1
garlic,大蒜,七年级,Unit1
ginger,生姜,七年级,Unit1
pepper,胡椒,七年级,Unit1
cabbage,卷心菜,七年级,Unit1
lettuce,生菜,七年级,Unit1
spinach,菠菜,七年级,Unit1
broccoli,西兰花,七年级,Unit1
cauliflower,花椰菜,七年级,Unit1
celery,芹菜,七年级,Unit1
cucumber,黄瓜,七年级,Unit1
eggplant,茄子,七年级,Unit1
pea,豌豆,七年级,Unit1
bean,豆子,七年级,Unit1
corn,玉米,七年级,Unit1
wheat,小麦,七年级,Unit1
rice,大米,七年级,Unit1
barley,大麦,七年级,Unit1
oat,燕麦,七年级,Unit1
rye,黑麦,七年级,Unit1
millet,小米,七年级,Unit1
sorghum,高粱,七年级,Unit1
sugarcane,甘蔗,七年级,Unit1
cotton,棉花,七年级,Unit1
tobacco,烟草,七年级,Unit1
tea,茶叶,七年级,Unit1
coffee,咖啡,七年级,Unit1
cocoa,可可,七年级,Unit1
vanilla,香草,七年级,Unit1
cinnamon,肉桂,七年级,Unit1
nutmeg,肉豆蔻,七年级,Unit1
clove,丁香,七年级,Unit1
basil,罗勒,七年级,Unit1
oregano,牛至,七年级,Unit1
thyme,百里香,七年级,Unit1
rosemary,迷迭香,七年级,Unit1
sage,鼠尾草,七年级,Unit1
dill,莳萝,七年级,Unit1
parsley,欧芹,七年级,Unit1
cilantro,香菜,七年级,Unit1
mint,薄荷,七年级,Unit1
lemongrass,香茅,七年级,Unit1
turmeric,姜黄,七年级,Unit1
curry,咖喱,七年级,Unit1
wasabi,芥末,七年级,Unit1
mustard,芥菜,七年级,Unit1
ketchup,番茄酱,七年级,Unit1
mayonnaise,蛋黄酱,七年级,Unit1
butter,黄油,七年级,Unit1
cream,奶油,七年级,Unit1
milk,牛奶,七年级,Unit1
cheese,奶酪,七年级,Unit1
yogurt,酸奶,七年级,Unit1
egg,鸡蛋,七年级,Unit1
meat,肉,七年级,Unit1
beef,牛肉,七年级,Unit1
pork,猪肉,七年级,Unit1
chicken,鸡肉,七年级,Unit1
duck,鸭肉,七年级,Unit1
fish,鱼,七年级,Unit1
shrimp,虾,七年级,Unit1
crab,螃蟹,七年级,Unit1
lobster,龙虾,七年级,Unit1
octopus,章鱼,七年级,Unit1
squid,鱿鱼,七年级,Unit1
salmon,三文鱼,七年级,Unit1
tuna,金枪鱼,七年级,Unit1
cod,鳕鱼,七年级,Unit1
halibut,大比目鱼,七年级,Unit1
sardine,沙丁鱼,七年级,Unit1
anchovy,凤尾鱼,七年级,Unit1
eel,鳗鱼,七年级,Unit1
trout,鳟鱼,七年级,Unit1
bass,鲈鱼,七年级,Unit1
catfish,鲶鱼,七年级,Unit1
carp,鲤鱼,七年级,Unit1
tuna,金枪鱼,七年级,Unit1
