goodmorning,早上好,七年级,Unit1
hello,你好,七年级,Unit1
goodmorning,早上好,七年级,Unit1
goodafternoon,下午好,七年级,Unit1
goodbye,再见,七年级,Unit1
name,名字,七年级,Unit1
is,是,七年级,Unit1
am,是,七年级,Unit1
are,是,七年级,Unit1
I'm,我是,七年级,Unit1
what,什么,七年级,Unit1
your,你的,七年级,Unit1
my,我的,七年级,Unit1
nice,愉快的,七年级,Unit1
to,向,七年级,Unit1
meet,遇见,七年级,Unit1
you,你,七年级,Unit1
too,也,七年级,Unit1
thank,谢谢,七年级,Unit1
this,这,七年级,Unit2
pen,钢笔,七年级,Unit2
pencil,铅笔,七年级,Unit2
book,书,七年级,Unit2
ruler,尺子,七年级,Unit2
eraser,橡皮,七年级,Unit2
box,盒子,七年级,Unit2
school,学校,七年级,Unit2
bag,书包,七年级,Unit2
that,那,七年级,Unit2
these,这些,七年级,Unit2
those,那些,七年级,Unit2
please,请,七年级,Unit2
and,和,七年级,Unit2
color,颜色,七年级,Unit3
red,红色,七年级,Unit3
green,绿色,七年级,Unit3
blue,蓝色,七年级,Unit3
yellow,黄色,七年级,Unit3
black,黑色,七年级,Unit3
white,白色,七年级,Unit3
orange,橙色,七年级,Unit3
brown,棕色,七年级,Unit3
purple,紫色,七年级,Unit3
pink,粉色,七年级,Unit3
coat,外套,七年级,Unit4
sweater,毛衣,七年级,Unit4
shirt,衬衫,七年级,Unit4
jacket,夹克,七年级,Unit4
skirt,裙子,七年级,Unit4
dress,连衣裙,七年级,Unit4
trousers,裤子,七年级,Unit4
shorts,短裤,七年级,Unit4
shoes,鞋子,七年级,Unit4
hat,帽子,七年级,Unit4
small,小的,七年级,Unit4
big,大的,七年级,Unit4
long,长的,七年级,Unit4
short,短的,七年级,Unit4
bike,自行车,七年级,Unit5
bus,公共汽车,七年级,Unit5
car,小汽车,七年级,Unit5
train,火车,七年级,Unit5
plane,飞机,七年级,Unit5
taxi,出租车,七年级,Unit5
boat,船,七年级,Unit5
subway,地铁,七年级,Unit5
ship,轮船,七年级,Unit5
motorcycle,摩托车,七年级,Unit5
helicopter,直升机,七年级,Unit5
rocket,火箭,七年级,Unit5
excuse,原谅,七年级,Unit6
me,我（宾格）,七年级,Unit6
it,它,七年级,Unit6
map,地图,七年级,Unit6
spell,拼写,七年级,Unit6
please,请,七年级,Unit6
can,能,七年级,Unit6
ask,询问,七年级,Unit6
clock,时钟,七年级,Unit6
watch,手表,七年级,Unit6
computer,电脑,七年级,Unit6
game,游戏,七年级,Unit6
key,钥匙,七年级,Unit6
notebook,笔记本,七年级,Unit6
ring,戒指,七年级,Unit6
call,打电话,七年级,Unit6
at,在,七年级,Unit6
lost,丢失的,七年级,Unit6
found,找到的,七年级,Unit6
library,图书馆,七年级,Unit7
restaurant,餐厅,七年级,Unit7
supermarket,超市,七年级,Unit7
bank,银行,七年级,Unit7
hospital,医院,七年级,Unit7
postoffice,邮局,七年级,Unit7
park,公园,七年级,Unit7
street,街道,七年级,Unit7
bridge,桥,七年级,Unit7
avenue,大街,七年级,Unit7
road,路,七年级,Unit7
neighborhood,社区,七年级,Unit7
turn,转弯,七年级,Unit7
left,左边,七年级,Unit7
right,右边,七年级,Unit7
straight,直行,七年级,Unit7
along,沿着,七年级,Unit7
down,向下,七年级,Unit7
up,向上,七年级,Unit7
garden,花园,七年级,Unit8
park,公园,七年级,Unit8
bank,银行,七年级,Unit8
pay,付钱,七年级,Unit8
across,横过,七年级,Unit8
from,来自,七年级,Unit8
desert,沙漠,七年级,Unit8
house,房子,七年级,Unit8
walk,走,七年级,Unit8
hope,希望,七年级,Unit8
thirsty,口渴的,七年级,Unit8
hungry,饥饿的,七年级,Unit8
tired,疲倦的,七年级,Unit8
happy,快乐的,七年级,Unit8
sad,悲伤的,七年级,Unit8
animal,动物,七年级,Unit9
zoo,动物园,七年级,Unit9
panda,熊猫,七年级,Unit9
tiger,老虎,七年级,Unit9
elephant,大象,七年级,Unit9
lion,狮子,七年级,Unit9
monkey,猴子,七年级,Unit9
giraffe,长颈鹿,七年级,Unit9
dolphin,海豚,七年级,Unit9
penguin,企鹅,七年级,Unit9
koala,考拉,七年级,Unit9
kangaroo,袋鼠,七年级,Unit9
snake,蛇,七年级,Unit9
bear,熊,七年级,Unit9
wolf,狼,七年级,Unit9
fox,狐狸,七年级,Unit9
deer,鹿,七年级,Unit9
rabbit,兔子,七年级,Unit9
cat,猫,七年级,Unit9
dog,狗,七年级,Unit9
bird,鸟,七年级,Unit9
fish,鱼,七年级,Unit9
insect,昆虫,七年级,Unit9
butterfly,蝴蝶,七年级,Unit9
bee,蜜蜂,七年级,Unit9
ant,蚂蚁,七年级,Unit9
spider,蜘蛛,七年级,Unit9
grasshopper,蚱蜢,七年级,Unit9
frog,青蛙,七年级,Unit9
